Name,BrowserExtensionId,Version,Patch
VPNCity,nnpnnpemnckcfdebeekibpiijlicmpom,2.0.1,
Parrot Talks,kkodiihpgodmdankclfibbiphjkfdenh,1.16.2,
Uvoice,oaikpkmjciadfpddlpjjdapglcihgdle,1.0.12,
Internxt VPN,dpggmcodlahmljkhlmpgpdcffdaoccni,1.1.1,1.2.0
Bookmark Favicon Changer,acmfnomgphggonodopogfbmkneepfgnh,4,
Castorus,mnhffkhmpnefgklngfmlndmkimimbphc,4.4,4.41
Wayin AI,cedgndijpacnfbdggppddacngjfdkaca,0.0.11,
Search Copilot AI Assistant for Chrome,bbdnohkpnbkdkmnkddobeafboooinpla,1.0.1,
VidHelper - Video Downloader,egmennebgadmncfjafcemlecimkepcle,2.2.7,
AI Assistant - ChatGPT and Gemini for Chrome,bibjgkidgpfbblifamdlkdlhgihmfohh,0.1.3,
TinaMind - The GPT-4o-powered AI Assistant!,befflofjcniongenjmbkgkoljhgliihe,2.13.0,2.14.0
Bard AI chat,pkgciiiancapdlpcbppfkmeaieppikkk,1.3.7,
Reader Mode,llimhhconnjiflfimocjggfjdlmlhblm,1.5.7,
Primus (prev. PADO),oeiomhmbaapihbilkfkhmlajkeegnjhe,3.18.0,3.20.0
Tackker - online keylogger tool,ekpkdmohpdnebfedjjfklhpefgpgaaji,1.3,1.4
AI Shop Buddy,epikoohpebngmakjinphfiagogjcnddm,2.7.3,
Sort by Oldest,miglaibdlgminlepgeifekifakochlka,1.4.5,
Rewards Search Automator,eanofdhdfbcalhflpbdipkjjkoimeeod,1.4.9,
Earny - Up to 20% Cash Back,ogbhbgkiojdollpjbhbamafmedkeockb,1.8.1,
ChatGPT Assistant - Smart Search,bgejafhieobnfpjlpcjjggoboebonfcg,1.1.1,
Keyboard History Recorder,igbodamhgjohafcenbcljfegbipdfjpk,2.3,
Email Hunter,mbindhfolmpijhodmgkloeeppmkhpmhc,1.44,
Visual Effects for Google Meet,hodiladlefdpcbemnbbcpclbmknkiaem,3.1.3,3.2.4
Cyberhaven security extension V3,pajkjnmeojmbapicmbpliphjmcekeaac,24.10.4,24.10.5
GraphQL Network Inspector,ndlbedplllcgconngcnfmkadhokfaaln,2.22.6,2.22.7
GPT 4 Summary with OpenAI,epdjhgbipjpbbhoccdeipghoihibnfja,1.4,
Vidnoz Flex - Video recorder & Video share,cplhlgabfijoiabgkigdafklbhhdkahj,1.0.161,
YesCaptcha assistant,jiofmdifioeejeilfkpegipdjiopiekl,1.1.61,
Proxy SwitchyOmega (V3),hihblcmlaaademjlakdpicchbjnnnkbo,3.0.2,
ChatGPT App,lbneaaedflankmgmfbmaplggbmjjmbae,1.3.8,
Web Mirror,eaijffijbobmnonfhilihbejadplhddo,2.4,
Hi AI,hmiaoahjllhfgebflooeeefeiafpkfde,1.0.0,